user_name,user_location,user_description,user_followers,user_friends,user_favourites,user_verified,text,hashtags,source,is_retweet,date_only
ChefSam,Sunshine State,Culinarian | Hot Sauce Artisan | Kombucha Brewer | Nature Lover | Runner | #BITCOIN | ðŸ§¡ðŸ’œ Nostr: npub1zfxzty3up9zmn3ky3se49vg6km69murefh480246retaevwq,4680,2643,6232,False,Which #bitcoin books should I think about reading next? https://t.co/32gas26rKB,['bitcoin'],Twitter for iPhone,False,2024-06-07
Royâš¡ï¸,,Truth-seeking pleb ðŸ“š â€¢ Science ðŸ§ª â€¢ Nature ðŸŒ±â˜€ï¸ â€¢ ðŸŒ½ stacker â€¢ Freedom ðŸ¦… â€¢ Dad ðŸ‘¨â€ðŸ¼ðŸ§¡,770,1145,9166,False,"@ThankGodForBTC I appreciate the message, but not a fan of the religious references. Religion has nothing to do with #Bitcoin.",['Bitcoin'],Twitter for iPhone,False,2024-03-16
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",576,1,0,False,"#Ethereum price update: 

#ETH $1664.02 USD
#Bitcoin 0.070428 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,False,2024-03-05
Viction,"Paris, France","https://t.co/8M3rgdjwEe

#bitcoin #blockchain #crypto #LSTM #prediction #machinelearning",236,1829,2195,False,"CoinDashboard v3.0 is here
Available on ios and Android
#Bitcoin https://t.co/tMCQllv9rj",['Bitcoin'],Twitter for Android,False,2024-10-10
Rosie,London,"The flower language of jasmine is loyalty, respect, purity, chastity, simplicity, exquisiteness and charm. It is the flower of love in some countries",12731,46,134,False,"#Bitcoin Short Term Fractal (4H)ðŸ’¥

In lower timeframe, #BTC price action seems to be repeating itself while LMACD is reproducing the same sequence. ðŸ«¡ https://t.co/2MG9yL7SDa","['Bitcoin', 'BTC']",Twitter Web App,False,2024-11-08
AkinHack,United States,Professional Recovery Services | â€¢Crypto | â€¢iCloud ID | â€¢Instagram | Snapchat | DM 247| â€¢Account Recovery | â€¢iMessage | spying | Follow and Inbox Me | â€¢NotFree,197,48,13,False,Yâ€™all Message me for any account recovery or hacking #CYBER #security #Coinbase #Bitcoin #BNB #facebook #snapchat #instagram.,"['CYBER', 'security', 'Coinbase', 'Bitcoin', 'BNB', 'facebook', 'snapchat', 'instagram']",Twitter for Android,False,2024-09-12
CAIR (Pump/Dump),,CAIR is a smart method to find PUMP/DUMP using the latest advanced AI techniques (not investment advice). PUMP-DUMP results https://t.co/9FJGx30Qlr,5976,1,107,False,"PUMP : 4-Hour Chart (1x!) (NORMAL)
Coin    : #FILUSDT
 
Entry   : 7.17
R1        : 8.17 (% 12.2)
R2       : 9.22 (% 22.2)
S1        : 6.86 (% -4.3)
 
Time   : 01/03/2023 23:59 (UTC)
Chart  : https://t.co/zKtYat6duH
 
#FIL #Bitcoin $FIL","['FILUSDT', 'FIL', 'Bitcoin']",BinanceTW,False,2024-01-13
NFTevening,ðŸ‘‡ Join 25k+ NFT Enthusiasts ,"The best newsletter for NFT, Metaverse, and Blockchain Games. | Contributing to the widespread adoption of NFTs! | ðŸ’Ÿ Subscribe https://t.co/FKeDZV8y8J",26940,2050,12198,False,"ðŸ“°TwelveFold by @yugalabs Unveils Unique #Bitcoin Collection

ðŸŸ£The Yuga Labs team has created an exciting limited-edition collection of only 300 generative pieces.

ðŸŸ£Each piece is inscribed on satoshis on the Bitcoin blockchain, making them truly unique and collectible.

#NFTs https://t.co/UqSa1MkQiJ","['Bitcoin', 'NFTs']",Hypefury,False,2024-01-01
AbdeL,,#sol #NFT,792,75,409,False,@BitcoinBullsNFT The first my #NFT in  #Bitcoin https://t.co/hO6t69frCZ,"['NFT', 'Bitcoin']",Twitter Web App,False,2024-01-12
PUBLORD,probably down at the pub,TOXIC HAPPY HOUR!  #Spaceshost  || M-F 2-4 w/ @Anders_  ||  #Bitcoin  ||  THH Pleb Party in Miami May 18th!,22414,3225,63945,False,Your first #Bitcoin Halving will age and humble at the same time.  ðŸ˜‰ðŸ˜‚ https://t.co/U6JwlLNlMg,['Bitcoin'],Twitter for Android,False,2024-08-11
Bitcoin Candle Bot,Brazil,"Robot that posts the closure of the bitcoin daily candle, written by @coinsamba",40,4,1,False,"Candle of day 01/03/2023 closed.

Open: $ 23,130.94
High: $ 23,906.02
Low: $ 23,042.67
Close: $ 23,635.96

Change: +2.14%

#Bitcoin #Candle #BullMarket","['Bitcoin', 'Candle', 'BullMarket']",Bitcoin Candle Bot,False,2024-01-22
FYC crypto | Sharing Information And Learning,,,6,23,1,False,"UBS Strategists Predict Minimal Impact of Upcoming Mt Gox Payouts on Bitcoin Value
https://t.co/yiahg9lmOe
#BTC #Bitcoin https://t.co/f98xNLYVv6","['BTC', 'Bitcoin']",Twitter Web App,False,2024-02-18
Ethereum Yoda,,"UP or DOWN...
.
.
.
.
Price matters NOT.",576,1,0,False,"#Ethereum price update: 

#ETH $1665.06 USD
#Bitcoin 0.07041649538947164 #BTC

Follow for recent ETH price updates
#altcoin, #cryptocurrency, #crypto","['Ethereum', 'ETH', 'Bitcoin', 'BTC', 'altcoin', 'cryptocurrency', 'crypto']",Twitter Web App,False,2024-03-04
BNB Price Tracker,,#BNB #BNBTracker #BinanceCoin #Binance,492,5,0,False,"#BinanceCoin price update: $BNB

#BNB $302.75 USD

#Bitcoin 0.0128 BTC

#Ethereum 0.18183 ETH

#altcoin #crypto #cryptocurrency

Follow for recent BNB price updates","['BinanceCoin', 'BNB', 'Bitcoin', 'Ethereum', 'altcoin', 'crypto', 'cryptocurrency']",Twitter Web App,False,2024-05-20
